94.1,111.2,0.4,445.5,74.1,189.5,554.7,1.4,1.4
5162.1,5164.2,8986.7,4154.4,4948.1,6177.5,3197.8,1.4,7293.3
70.5,143.7,74.4,88.5,110.7,96.1,112.3,1.4,1.4
41.5,56.7,74.4,62.7,0.2,63.2,44.3,54.5,73.7
73.4,75.6,189.5,65.4,41.9,30.3,46.3,1.4,41.6
133.8,130.2,85.5,174.3,186.3,278.1,57.8,97.7,1.4
17196.5,21836.4,47864.2,0.4,21888,27380.3,12652.1,11404.1,64667
386.3,400.2,0.4,198.5,942.8,678.7,502.6,423.5,919.6
257.3,0.5,0.4,330.1,0.2,0.3,683.9,206.4,1.4
105.4,89.9,68.5,142.3,209.7,104.4,59.5,1.4,81.9
470.2,486.6,468.8,859.5,690.7,613.9,738.4,1.4,473.5
331.3,240.2,197.4,255.2,0.2,336.5,337.5,230.3,185.5
153.9,136,94.7,279.4,304.8,0.3,284.9,146.9,99.1
73.7,101.5,0.4,83.9,61.6,56.7,71.3,85.1,55.1
66.7,87.1,0.4,90.3,102.7,52.6,52.8,81.5,57.6
216.6,0.5,0.4,477.2,0.2,0.3,0.3,1.4,381.1
154.4,0.5,0.4,0.4,426,161.9,93.4,209,1.4
323,133.9,294,212.6,0.2,159.8,209.8,136.5,315.9
53,43,0.4,0.4,0.2,73,0.3,119.4,99.5
143.1,103,0.4,126.8,178.5,105.9,90.6,256.8,219.4
510.8,378.5,0.4,577.5,443.3,333,274,513.4,703.4
104,76.1,0.4,53.4,210,48.5,29.9,69.3,122.2
275.6,84,0.4,63.5,158.3,62,34.3,99.8,131.6
83.6,99.5,77.1,154.9,0.2,109.8,78.2,69.3,65.8
387.1,149.3,168.7,409.8,125.7,230.3,562.3,233,1.4
286.2,279.8,223.9,300,317.6,0.3,390.6,195.2,261.7
133.3,290.1,103.3,0.4,125.4,124.2,157.8,255.9,220.4
248.1,175.6,0.4,208.5,150.4,179.6,0.3,1.4,95.5
761.9,489.2,0.4,787,741.5,0.3,865.7,738.4,859
7395.5,11213.8,0.4,8486.1,10691.2,6619.9,7894.5,7857.1,11705.5
485.6,335.9,296.4,390.4,311.2,0.3,307.9,247.9,425.7
1217.3,878.5,0.4,1093.5,1256.2,1024.9,1262.5,546.9,662.6
1338.2,0.5,271.1,1137.9,165.2,273.1,1271.1,686.4,808.9
1317,942.1,0.4,1233,1064.8,0.3,1023.4,720.5,742.2
994.5,717.5,0.4,599.6,441.7,768,831,198.3,420.4
1096.2,898.7,378.1,2173.3,633.3,0.3,1186.3,771.7,801.2
882.6,381.4,0.4,624,390,488.6,1325,213.6,440.8
78.4,59.9,0.4,101.3,178.4,167.7,154,97.9,178.1
915.9,0.5,487.8,939.1,0.2,0.3,0.3,1.4,1.4
165.5,89.6,0.4,146.9,112.6,112.9,192.1,1.4,108.6
412.3,511.1,0.4,587.1,279.8,708.1,740.2,464.4,1.4
4268.8,4010.1,4689.3,3334,4301.6,0.3,2854,5397.9,6044.4
93213.7,126212.1,0.4,54084.3,10945.2,0.3,49395.7,158534.8,114243.4
1507,1426.1,558.4,1417.9,1453.6,0.3,1534.1,1586,1.4
529.2,174.3,0.4,671.7,327.6,178.5,824,207,259.2
1509.4,436.6,0.4,1801.2,351.1,115.4,2003,1.4,837.3
1482.9,0.5,12.6,0.4,973.6,1133.9,1591.9,463,227
