 node, mean, sd, MC error,2.50%,median,97.50%,start,sample
M.pos[1],0.8011,0.3991,0.003949,0,1,1,4001,22000
M.pos[2],0.4976,0.5,0.005025,0,0,1,4001,22000
M.pos[3],0.6639,0.4724,0.004991,0,1,1,4001,22000
M.pos[4],0.531,0.499,0.005111,0,1,1,4001,22000
M.pos[5],0.548,0.4977,0.004919,0,1,1,4001,22000
M.pos[6],0.5195,0.4996,0.005142,0,1,1,4001,22000
M.pos[7],0.244,0.4295,0.004135,0,0,1,4001,22000
M.pos[8],0.4285,0.4949,0.005064,0,0,1,4001,22000
M.pos[9],0.7617,0.4261,0.004216,0,1,1,4001,22000
M.pos[10],0.2922,0.4548,0.005135,0,0,1,4001,22000
M.pos[11],0.5615,0.4962,0.004931,0,1,1,4001,22000
M.pos[12],0.8052,0.396,0.003766,0,1,1,4001,22000
M.pos[13],0.5557,0.4969,0.004753,0,1,1,4001,22000
M.pos[14],0.2711,0.4445,0.004191,0,0,1,4001,22000
M.pos[15],0.3618,0.4805,0.004762,0,0,1,4001,22000
M.pos[16],0.452,0.4977,0.004751,0,0,1,4001,22000
M.pos[17],0.3942,0.4887,0.005103,0,0,1,4001,22000
M.pos[18],0.8256,0.3794,0.003833,0,1,1,4001,22000
M.pos[19],0.71,0.4537,0.004309,0,1,1,4001,22000
M.pos[20],0.5483,0.4977,0.005468,0,1,1,4001,22000
M.pos[21],0.4394,0.4963,0.005197,0,0,1,4001,22000
M.pos[22],0.4097,0.4918,0.005235,0,0,1,4001,22000
M.pos[23],0.5508,0.4974,0.004787,0,1,1,4001,22000
M.pos[24],0.408,0.4915,0.005068,0,0,1,4001,22000
M.pos[25],0.3855,0.4867,0.004857,0,0,1,4001,22000
M.pos[26],0.6337,0.4818,0.00463,0,1,1,4001,22000
M.pos[27],0.5557,0.4969,0.005239,0,1,1,4001,22000
M.pos[28],0.6722,0.4694,0.004481,0,1,1,4001,22000
M.pos[29],0.7935,0.4048,0.003849,0,1,1,4001,22000
M.pos[30],0.6358,0.4812,0.004844,0,1,1,4001,22000
M.pos[31],0.4817,0.4997,0.005053,0,0,1,4001,22000
M.pos[32],0.6648,0.4721,0.004678,0,1,1,4001,22000
M.pos[33],0.9495,0.2189,0.001876,0,1,1,4001,22000
M.pos[34],0.8129,0.39,0.004037,0,1,1,4001,22000
M.pos[35],0.5485,0.4976,0.005165,0,1,1,4001,22000
M.pos[36],0.4351,0.4958,0.004917,0,0,1,4001,22000
M.pos[37],0.2531,0.4348,0.004674,0,0,1,4001,22000
M.pos[38],0.7182,0.4499,0.004337,0,1,1,4001,22000
M.pos[39],0.7118,0.4529,0.004462,0,1,1,4001,22000
M.pos[40],0.6814,0.4659,0.004639,0,1,1,4001,22000
M.pos[41],0.8997,0.3004,0.002536,0,1,1,4001,22000
M.pos[42],0.7547,0.4303,0.004182,0,1,1,4001,22000
M.pos[43],0.3899,0.4877,0.004851,0,0,1,4001,22000
M.pos[44],0.8881,0.3152,0.003403,0,1,1,4001,22000
M.pos[45],0.4876,0.4998,0.004917,0,0,1,4001,22000
M.pos[46],0.2886,0.4531,0.004507,0,0,1,4001,22000
M.pos[47],0.8502,0.3569,0.003554,0,1,1,4001,22000
M.pos[48],0.5276,0.4992,0.004901,0,1,1,4001,22000
M.pos[49],0.5532,0.4972,0.004959,0,1,1,4001,22000
M.pos[50],0.3433,0.4748,0.004726,0,0,1,4001,22000
M.pos[51],0.47,0.4991,0.005192,0,0,1,4001,22000
M.pos[52],0.3983,0.4896,0.004747,0,0,1,4001,22000
M.pos[53],0.3535,0.4781,0.004892,0,0,1,4001,22000
M.pos[54],0.4979,0.5,0.005528,0,0,1,4001,22000
M.pos[55],0.727,0.4455,0.00501,0,1,1,4001,22000
M.pos[56],0.4686,0.499,0.005275,0,0,1,4001,22000
M.pos[57],0.434,0.4956,0.004805,0,0,1,4001,22000
M.pos[58],0.4776,0.4995,0.005174,0,0,1,4001,22000
M.pos[59],0.6072,0.4884,0.005343,0,1,1,4001,22000
M.pos[60],0.4632,0.4986,0.005035,0,0,1,4001,22000
M.pos[61],0.579,0.4937,0.004997,0,1,1,4001,22000
M.pos[62],0.3798,0.4853,0.005022,0,0,1,4001,22000
M.pos[63],0.7306,0.4436,0.004473,0,1,1,4001,22000
M.pos[64],0.6646,0.4721,0.004781,0,1,1,4001,22000
M.pos[65],0.3757,0.4843,0.004929,0,0,1,4001,22000
M.pos[66],0.5316,0.499,0.00535,0,1,1,4001,22000
M.pos[67],0.3695,0.4827,0.004843,0,0,1,4001,22000
M.pos[68],0.4753,0.4994,0.004634,0,0,1,4001,22000
M.pos[69],0.5012,0.5,0.004867,0,1,1,4001,22000
M.pos[70],0.4708,0.4991,0.005079,0,0,1,4001,22000
M.pos[71],0.4364,0.4959,0.005228,0,0,1,4001,22000
M.pos[72],0.4465,0.4971,0.004956,0,0,1,4001,22000
M.pos[73],0.6713,0.4697,0.004419,0,1,1,4001,22000
M.pos[74],0.6968,0.4597,0.004718,0,1,1,4001,22000
M.pos[75],0.3278,0.4694,0.004929,0,0,1,4001,22000
M.pos[76],0.5778,0.4939,0.004992,0,1,1,4001,22000
M.pos[77],0.4185,0.4933,0.004592,0,0,1,4001,22000
M.pos[78],0.6787,0.467,0.005265,0,1,1,4001,22000
M.pos[79],0.3999,0.4899,0.005116,0,0,1,4001,22000
M.pos[80],0.522,0.4995,0.005345,0,1,1,4001,22000
M.pos[81],0.6695,0.4704,0.004698,0,1,1,4001,22000
M.pos[82],0.3895,0.4876,0.004828,0,0,1,4001,22000
M.pos[83],0.3935,0.4885,0.004746,0,0,1,4001,22000
M.pos[84],0.4732,0.4993,0.005252,0,0,1,4001,22000
M.pos[85],0.7487,0.4338,0.004497,0,1,1,4001,22000
M.pos[86],0.6883,0.4632,0.00453,0,1,1,4001,22000
M.pos[87],0.3947,0.4888,0.004656,0,0,1,4001,22000
M.pos[88],0.6965,0.4597,0.004682,0,1,1,4001,22000
M.pos[89],0.5517,0.4973,0.004888,0,1,1,4001,22000
M.pos[90],0.5922,0.4914,0.004935,0,1,1,4001,22000
M.pos[91],0.4219,0.4939,0.005143,0,0,1,4001,22000
M.pos[92],0.3401,0.4737,0.00459,0,0,1,4001,22000
M.pos[93],0.6995,0.4585,0.004761,0,1,1,4001,22000
M.pos[94],0.759,0.4277,0.00432,0,1,1,4001,22000
M.pos[95],0.4968,0.5,0.004704,0,0,1,4001,22000
M.pos[96],0.7943,0.4042,0.004089,0,1,1,4001,22000
M.pos[97],0.4381,0.4962,0.004942,0,0,1,4001,22000
M.pos[98],0.7826,0.4125,0.003977,0,1,1,4001,22000
M.pos[99],0.4071,0.4913,0.004963,0,0,1,4001,22000
M.pos[100],0.424,0.4942,0.005243,0,0,1,4001,22000
M.pos[101],0.874,0.3318,0.003138,0,1,1,4001,22000
M.pos[102],0.7504,0.4328,0.004085,0,1,1,4001,22000
M.pos[103],0.3362,0.4724,0.004788,0,0,1,4001,22000
M.pos[104],0.7592,0.4276,0.004293,0,1,1,4001,22000
M.pos[105],0.816,0.3875,0.003627,0,1,1,4001,22000
M.pos[106],0.5919,0.4915,0.005066,0,1,1,4001,22000
M.pos[107],0.546,0.4979,0.005042,0,1,1,4001,22000
M.pos[108],0.481,0.4996,0.004811,0,0,1,4001,22000
M.pos[109],0.5646,0.4958,0.005352,0,1,1,4001,22000
M.pos[110],0.3096,0.4623,0.00434,0,0,1,4001,22000
M.pos[111],0.398,0.4895,0.005424,0,0,1,4001,22000
M.pos[112],0.4771,0.4995,0.004953,0,0,1,4001,22000
M.pos[113],0.6036,0.4892,0.004902,0,1,1,4001,22000
M.pos[114],0.6495,0.4771,0.004664,0,1,1,4001,22000
M.pos[115],0.536,0.4987,0.005121,0,1,1,4001,22000
M.pos[116],0.4942,0.5,0.00485,0,0,1,4001,22000
M.pos[117],0.8516,0.3555,0.003652,0,1,1,4001,22000
M.pos[118],0.4546,0.4979,0.005322,0,0,1,4001,22000
M.pos[119],0.3151,0.4646,0.00444,0,0,1,4001,22000
M.pos[120],0.3398,0.4736,0.004736,0,0,1,4001,22000
M.pos[121],0.5471,0.4978,0.005341,0,1,1,4001,22000
M.pos[122],0.795,0.4037,0.003763,0,1,1,4001,22000
M.pos[123],0.5286,0.4992,0.004877,0,1,1,4001,22000
M.pos[124],0.5091,0.4999,0.005221,0,1,1,4001,22000
M.pos[125],0.5597,0.4964,0.005372,0,1,1,4001,22000
M.pos[126],0.6604,0.4736,0.004948,0,1,1,4001,22000
M.pos[127],0.3393,0.4735,0.005164,0,0,1,4001,22000
M.pos[128],0.7231,0.4475,0.004353,0,1,1,4001,22000
M.pos[129],0.493,0.5,0.005064,0,0,1,4001,22000
M.pos[130],0.5454,0.4979,0.005077,0,1,1,4001,22000
M.pos[131],0.2193,0.4138,0.003958,0,0,1,4001,22000
M.pos[132],0.4887,0.4999,0.005383,0,0,1,4001,22000
M.pos[133],0.3968,0.4892,0.005213,0,0,1,4001,22000
M.pos[134],0.7102,0.4537,0.004545,0,1,1,4001,22000
M.pos[135],0.6185,0.4858,0.004829,0,1,1,4001,22000
