M.pos[1],0.9993,0.0261,1.70E-04,1,1,1,1001,22000
M.pos[2],0.7652,0.4239,0.002648,0,1,1,1001,22000
M.pos[3],0.9876,0.1107,7.76E-04,1,1,1,1001,22000
M.pos[4],0.8601,0.3469,0.002439,0,1,1,1001,22000
M.pos[5],0.8754,0.3303,0.002155,0,1,1,1001,22000
M.pos[6],0.8347,0.3714,0.002617,0,1,1,1001,22000
M.pos[7],1.36E-04,0.01168,7.81E-05,0,0,0,1001,22000
M.pos[8],0.4429,0.4967,0.003339,0,0,1,1001,22000
M.pos[9],0.9984,0.03985,2.54E-04,1,1,1,1001,22000
M.pos[10],0.006273,0.07895,5.64E-04,0,0,0,1001,22000
M.pos[11],0.909,0.2875,0.001762,0,1,1,1001,22000
M.pos[12],0.9997,0.01651,1.10E-04,1,1,1,1001,22000
M.pos[13],0.9022,0.2971,0.00198,0,1,1,1001,22000
M.pos[14],0.001636,0.04042,2.65E-04,0,0,0,1001,22000
M.pos[15],0.1116,0.3149,0.001969,0,0,1,1001,22000
M.pos[16],0.5435,0.4981,0.003411,0,1,1,1001,22000
M.pos[17],0.2584,0.4378,0.002907,0,0,1,1001,22000
M.pos[18],0.9999,0.01168,7.83E-05,1,1,1,1001,22000
M.pos[19],0.9952,0.06925,4.61E-04,1,1,1,1001,22000
M.pos[20],0.8858,0.3181,0.002103,0,1,1,1001,22000
M.pos[21],0.5173,0.4997,0.003397,0,1,1,1001,22000
M.pos[22],0.3886,0.4874,0.003342,0,0,1,1001,22000
M.pos[23],0.8965,0.3046,0.001911,0,1,1,1001,22000
M.pos[24],0.3304,0.4703,0.00308,0,0,1,1001,22000
M.pos[25],0.2365,0.4249,0.002937,0,0,1,1001,22000
M.pos[26],0.9807,0.1375,8.54E-04,1,1,1,1001,22000
M.pos[27],0.91,0.2862,0.002005,0,1,1,1001,22000
M.pos[28],0.9891,0.1039,7.55E-04,1,1,1,1001,22000
M.pos[29],0.9994,0.02522,1.77E-04,1,1,1,1001,22000
M.pos[30],0.9793,0.1425,9.56E-04,1,1,1,1001,22000
M.pos[31],0.7152,0.4513,0.003032,0,1,1,1001,22000
M.pos[32],0.9894,0.1026,6.83E-04,1,1,1,1001,22000
M.pos[33],1,0,4.77E-13,1,1,1,1001,22000
M.pos[34],0.9995,0.02236,1.47E-04,1,1,1,1001,22000
M.pos[35],0.893,0.3091,0.002206,0,1,1,1001,22000
M.pos[36],0.5038,0.5,0.003494,0,1,1,1001,22000
