 node, mean, sd, MC error,2.50%,median,97.50%,start,sample
M.mixed[1],0.971,0.1678,0.001102,0,1,1,4001,22000
M.mixed[2],0.5125,0.4998,0.003438,0,1,1,4001,22000
M.mixed[3],0.8581,0.3489,0.00234,0,1,1,4001,22000
M.mixed[4],0.5983,0.4902,0.003399,0,1,1,4001,22000
M.mixed[5],0.62,0.4854,0.003652,0,1,1,4001,22000
M.mixed[6],0.5825,0.4932,0.003432,0,1,1,4001,22000
M.mixed[7],0.03364,0.1803,0.00128,0,0,1,4001,22000
M.mixed[8],0.334,0.4716,0.003059,0,0,1,4001,22000
M.mixed[9],0.9479,0.2222,0.001502,0,1,1,4001,22000
M.mixed[10],0.07309,0.2603,0.001753,0,0,1,4001,22000
M.mixed[11],0.653,0.476,0.003367,0,1,1,4001,22000
M.mixed[12],0.9695,0.1721,0.001166,0,1,1,4001,22000
M.mixed[13],0.6505,0.4768,0.003328,0,1,1,4001,22000
M.mixed[14],0.05709,0.232,0.001586,0,0,1,4001,22000
M.mixed[15],0.1726,0.3779,0.002684,0,0,1,4001,22000
M.mixed[16],0.382,0.4859,0.003145,0,0,1,4001,22000
M.mixed[17],0.2449,0.43,0.003182,0,0,1,4001,22000
M.mixed[18],0.9803,0.1391,9.24E-04,1,1,1,4001,22000
M.mixed[19],0.9063,0.2914,0.001972,0,1,1,4001,22000
M.mixed[20],0.6261,0.4838,0.003364,0,1,1,4001,22000
M.mixed[21],0.373,0.4836,0.003417,0,0,1,4001,22000
M.mixed[22],0.3047,0.4603,0.003138,0,0,1,4001,22000
M.mixed[23],0.6405,0.4799,0.002822,0,1,1,4001,22000
M.mixed[24],0.2809,0.4494,0.003052,0,0,1,4001,22000
M.mixed[25],0.2314,0.4217,0.002948,0,0,1,4001,22000
M.mixed[26],0.8267,0.3785,0.002618,0,1,1,4001,22000
M.mixed[27],0.6655,0.4718,0.003074,0,1,1,4001,22000
M.mixed[28],0.8669,0.3397,0.002257,0,1,1,4001,22000
M.mixed[29],0.9717,0.1659,0.001116,0,1,1,4001,22000
M.mixed[30],0.8129,0.39,0.002517,0,1,1,4001,22000
M.mixed[31],0.4824,0.4997,0.00328,0,0,1,4001,22000
M.mixed[32],0.8589,0.3481,0.002383,0,1,1,4001,22000
M.mixed[33],0.9996,0.02022,1.34E-04,1,1,1,4001,22000
M.mixed[34],0.9786,0.1447,9.85E-04,1,1,1,4001,22000
M.mixed[35],0.6335,0.4818,0.003727,0,1,1,4001,22000
M.mixed[36],0.3624,0.4807,0.00337,0,0,1,4001,22000
M.mixed[37],0.0335,0.1799,0.001279,0,0,1,4001,22000
M.mixed[38],0.9259,0.262,0.001834,0,1,1,4001,22000
M.mixed[39],0.9191,0.2727,0.001637,0,1,1,4001,22000
M.mixed[40],0.8669,0.3397,0.002253,0,1,1,4001,22000
M.mixed[41],0.9964,0.05982,4.00E-04,1,1,1,4001,22000
M.mixed[42],0.9446,0.2287,0.001584,0,1,1,4001,22000
M.mixed[43],0.25,0.433,0.002865,0,0,1,4001,22000
M.mixed[44],0.9955,0.06659,4.47E-04,1,1,1,4001,22000
M.mixed[45],0.5158,0.4998,0.003174,0,1,1,4001,22000
M.mixed[46],0.06273,0.2425,0.001642,0,0,1,4001,22000
M.mixed[47],0.9888,0.1052,7.54E-04,1,1,1,4001,22000
M.mixed[48],0.5896,0.4919,0.003276,0,1,1,4001,22000
M.mixed[49],0.6539,0.4757,0.003576,0,1,1,4001,22000
M.mixed[50],0.1517,0.3588,0.00254,0,0,1,4001,22000
M.mixed[51],0.4549,0.498,0.003343,0,0,1,4001,22000
M.mixed[52],0.2656,0.4417,0.002812,0,0,1,4001,22000
M.mixed[53],0.1858,0.389,0.002493,0,0,1,4001,22000
M.mixed[54],0.5043,0.5,0.003265,0,1,1,4001,22000
M.mixed[55],0.9201,0.2711,0.001811,0,1,1,4001,22000
M.mixed[56],0.4129,0.4924,0.003349,0,0,1,4001,22000
M.mixed[57],0.357,0.4791,0.003113,0,0,1,4001,22000
M.mixed[58],0.4777,0.4995,0.003459,0,0,1,4001,22000
M.mixed[59],0.7589,0.4277,0.003164,0,1,1,4001,22000
M.mixed[60],0.4168,0.493,0.003308,0,0,1,4001,22000
M.mixed[61],0.7074,0.455,0.003041,0,1,1,4001,22000
M.mixed[62],0.2241,0.417,0.002745,0,0,1,4001,22000
M.mixed[63],0.9405,0.2366,0.001725,0,1,1,4001,22000
M.mixed[64],0.8547,0.3524,0.002414,0,1,1,4001,22000
M.mixed[65],0.2209,0.4148,0.002655,0,0,1,4001,22000
M.mixed[66],0.577,0.494,0.003528,0,1,1,4001,22000
M.mixed[67],0.1976,0.3982,0.002896,0,0,1,4001,22000
M.mixed[68],0.453,0.4978,0.003361,0,0,1,4001,22000
M.mixed[69],0.5478,0.4977,0.003363,0,1,1,4001,22000
M.mixed[70],0.44,0.4964,0.003577,0,0,1,4001,22000
M.mixed[71],0.3825,0.486,0.003237,0,0,1,4001,22000
M.mixed[72],0.3889,0.4875,0.003222,0,0,1,4001,22000
M.mixed[73],0.8617,0.3452,0.002516,0,1,1,4001,22000
M.mixed[74],0.8967,0.3043,0.002095,0,1,1,4001,22000
M.mixed[75],0.1279,0.3339,0.002213,0,0,1,4001,22000
M.mixed[76],0.7014,0.4576,0.002901,0,1,1,4001,22000
M.mixed[77],0.3316,0.4708,0.003251,0,0,1,4001,22000
M.mixed[78],0.8745,0.3313,0.002297,0,1,1,4001,22000
M.mixed[79],0.2934,0.4553,0.003158,0,0,1,4001,22000
M.mixed[80],0.571,0.4949,0.003427,0,1,1,4001,22000
M.mixed[81],0.866,0.3407,0.002216,0,1,1,4001,22000
M.mixed[82],0.2595,0.4383,0.002908,0,0,1,4001,22000
M.mixed[83],0.2518,0.434,0.003161,0,0,1,4001,22000
M.mixed[84],0.4555,0.498,0.003496,0,0,1,4001,22000
M.mixed[85],0.9425,0.2327,0.001541,0,1,1,4001,22000
M.mixed[86],0.8695,0.3369,0.002298,0,1,1,4001,22000
M.mixed[87],0.2569,0.4369,0.002874,0,0,1,4001,22000
M.mixed[88],0.8999,0.3002,0.001961,0,1,1,4001,22000
M.mixed[89],0.654,0.4757,0.003319,0,1,1,4001,22000
M.mixed[90],0.7538,0.4308,0.002939,0,1,1,4001,22000
M.mixed[91],0.3135,0.4639,0.002967,0,0,1,4001,22000
M.mixed[92],0.1569,0.3637,0.002528,0,0,1,4001,22000
M.mixed[93],0.8952,0.3063,0.002027,0,1,1,4001,22000
M.mixed[94],0.9435,0.231,0.00149,0,1,1,4001,22000
M.mixed[95],0.4856,0.4998,0.003296,0,0,1,4001,22000
M.mixed[96],0.9681,0.1758,0.001213,0,1,1,4001,22000
M.mixed[97],0.3537,0.4781,0.003034,0,0,1,4001,22000
M.mixed[98],0.9651,0.1834,0.001279,0,1,1,4001,22000
M.mixed[99],0.2841,0.451,0.003205,0,0,1,4001,22000
M.mixed[100],0.3467,0.4759,0.003409,0,0,1,4001,22000
M.mixed[101],0.9937,0.07924,5.14E-04,1,1,1,4001,22000
M.mixed[102],0.9436,0.2306,0.001585,0,1,1,4001,22000
M.mixed[103],0.1436,0.3507,0.002358,0,0,1,4001,22000
M.mixed[104],0.9448,0.2284,0.001556,0,1,1,4001,22000
M.mixed[105],0.9773,0.149,0.001068,1,1,1,4001,22000
M.mixed[106],0.7197,0.4492,0.00289,0,1,1,4001,22000
M.mixed[107],0.6361,0.4811,0.00355,0,1,1,4001,22000
M.mixed[108],0.4613,0.4985,0.003351,0,0,1,4001,22000
M.mixed[109],0.6729,0.4692,0.002894,0,1,1,4001,22000
M.mixed[110],0.09345,0.2911,0.001743,0,0,1,4001,22000
M.mixed[111],0.2714,0.4447,0.003066,0,0,1,4001,22000
M.mixed[112],0.4449,0.497,0.003371,0,0,1,4001,22000
M.mixed[113],0.7551,0.43,0.002758,0,1,1,4001,22000
