 node, mean, sd, MC error,2.50%,median,97.50%,start,sample
M.mixed[1],0.9838,0.1263,8.89E-04,1,1,1,1001,22000
M.mixed[2],0.4956,0.5,0.003642,0,0,1,1001,22000
M.mixed[3],0.8793,0.3258,0.002294,0,1,1,1001,22000
M.mixed[4],0.5858,0.4926,0.00324,0,1,1,1001,22000
M.mixed[5],0.6055,0.4887,0.003679,0,1,1,1001,22000
M.mixed[6],0.5619,0.4962,0.003464,0,1,1,1001,22000
M.mixed[7],0.04091,0.1981,0.001359,0,0,1,1001,22000
M.mixed[8],0.311,0.4629,0.00315,0,0,1,1001,22000
M.mixed[9],0.9646,0.1847,0.001247,0,1,1,1001,22000
M.mixed[10],0.07723,0.267,0.001729,0,0,1,1001,22000
M.mixed[11],0.6509,0.4767,0.003467,0,1,1,1001,22000
M.mixed[12],0.9824,0.1316,8.74E-04,1,1,1,1001,22000
M.mixed[13],0.6452,0.4784,0.003504,0,1,1,1001,22000
M.mixed[14],0.06486,0.2463,0.00159,0,0,1,1001,22000
M.mixed[15],0.1592,0.3658,0.002352,0,0,1,1001,22000
M.mixed[16],0.3567,0.479,0.003411,0,0,1,1001,22000
M.mixed[17],0.2298,0.4207,0.003242,0,0,1,1001,22000
M.mixed[18],0.9892,0.1032,6.80E-04,1,1,1,1001,22000
M.mixed[19],0.9248,0.2637,0.001855,0,1,1,1001,22000
M.mixed[20],0.6187,0.4857,0.003364,0,1,1,1001,22000
M.mixed[21],0.3455,0.4755,0.003247,0,0,1,1001,22000
M.mixed[22],0.283,0.4505,0.00286,0,0,1,1001,22000
M.mixed[23],0.6326,0.4821,0.003539,0,1,1,1001,22000
M.mixed[24],0.262,0.4397,0.003074,0,0,1,1001,22000
M.mixed[25],0.2134,0.4097,0.002865,0,0,1,1001,22000
M.mixed[26],0.8422,0.3645,0.002497,0,1,1,1001,22000
M.mixed[27],0.6624,0.4729,0.003283,0,1,1,1001,22000
M.mixed[28],0.8817,0.323,0.002345,0,1,1,1001,22000
M.mixed[29],0.9846,0.123,7.77E-04,1,1,1,1001,22000
M.mixed[30],0.8269,0.3783,0.002475,0,1,1,1001,22000
M.mixed[31],0.4439,0.4968,0.003635,0,0,1,1001,22000
M.mixed[32],0.8817,0.3229,0.002144,0,1,1,1001,22000
M.mixed[33],1,0.006742,4.53E-05,1,1,1,1001,22000
M.mixed[34],0.9893,0.1028,6.20E-04,1,1,1,1001,22000
M.mixed[35],0.6269,0.4836,0.003423,0,1,1,1001,22000
M.mixed[36],0.3332,0.4714,0.003105,0,0,1,1001,22000
M.mixed[37],0.04205,0.2007,0.001375,0,0,1,1001,22000
M.mixed[38],0.946,0.2259,0.001506,0,1,1,1001,22000
M.mixed[39],0.9367,0.2435,0.001783,0,1,1,1001,22000
M.mixed[40],0.8875,0.316,0.00232,0,1,1,1001,22000
M.mixed[41],0.999,0.03088,1.98E-04,1,1,1,1001,22000
M.mixed[42],0.9619,0.1914,0.001335,0,1,1,1001,22000
M.mixed[43],0.229,0.4202,0.00265,0,0,1,1001,22000
M.mixed[44],0.999,0.03232,2.06E-04,1,1,1,1001,22000
M.mixed[45],0.4883,0.4999,0.003562,0,0,1,1001,22000
M.mixed[46],0.06868,0.2529,0.001693,0,0,1,1001,22000
M.mixed[47],0.9949,0.07117,4.51E-04,1,1,1,1001,22000
M.mixed[48],0.574,0.4945,0.003572,0,1,1,1001,22000
M.mixed[49],0.6373,0.4808,0.003416,0,1,1,1001,22000
M.mixed[50],0.1499,0.3569,0.002578,0,0,1,1001,22000
M.mixed[51],0.429,0.4949,0.003742,0,0,1,1001,22000
M.mixed[52],0.242,0.4283,0.002728,0,0,1,1001,22000
M.mixed[53],0.1659,0.372,0.002481,0,0,1,1001,22000
M.mixed[54],0.4834,0.4997,0.003204,0,0,1,1001,22000
M.mixed[55],0.9432,0.2315,0.001604,0,1,1,1001,22000
M.mixed[56],0.3921,0.4882,0.003323,0,0,1,1001,22000
M.mixed[57],0.33,0.4702,0.003363,0,0,1,1001,22000
M.mixed[58],0.4565,0.4981,0.003239,0,0,1,1001,22000
M.mixed[59],0.768,0.4221,0.003164,0,1,1,1001,22000
M.mixed[60],0.3992,0.4897,0.003142,0,0,1,1001,22000
M.mixed[61],0.7105,0.4535,0.003328,0,1,1,1001,22000
M.mixed[62],0.2045,0.4034,0.002495,0,0,1,1001,22000
M.mixed[63],0.9568,0.2033,0.001345,0,1,1,1001,22000
M.mixed[64],0.872,0.3341,0.002429,0,1,1,1001,22000
M.mixed[65],0.2106,0.4077,0.002842,0,0,1,1001,22000
M.mixed[66],0.561,0.4963,0.003563,0,1,1,1001,22000
M.mixed[67],0.1863,0.3894,0.002514,0,0,1,1001,22000
M.mixed[68],0.4244,0.4943,0.0036,0,0,1,1001,22000
M.mixed[69],0.5225,0.4995,0.00345,0,1,1,1001,22000
M.mixed[70],0.4112,0.4921,0.003268,0,0,1,1001,22000
M.mixed[71],0.3526,0.4778,0.002916,0,0,1,1001,22000
M.mixed[72],0.3634,0.481,0.003542,0,0,1,1001,22000
M.mixed[73],0.8779,0.3274,0.002383,0,1,1,1001,22000
M.mixed[74],0.915,0.2788,0.001902,0,1,1,1001,22000
M.mixed[75],0.1247,0.3304,0.00204,0,0,1,1001,22000
M.mixed[76],0.7041,0.4565,0.003178,0,1,1,1001,22000
M.mixed[77],0.3068,0.4612,0.00341,0,0,1,1001,22000
M.mixed[78],0.8934,0.3086,0.002249,0,1,1,1001,22000
M.mixed[79],0.2756,0.4468,0.002785,0,0,1,1001,22000
M.mixed[80],0.5413,0.4983,0.003851,0,1,1,1001,22000
M.mixed[81],0.8784,0.3269,0.002448,0,1,1,1001,22000
M.mixed[82],0.2485,0.4321,0.002822,0,0,1,1001,22000
M.mixed[83],0.2311,0.4216,0.002678,0,0,1,1001,22000
M.mixed[84],0.4332,0.4955,0.003288,0,0,1,1001,22000
M.mixed[85],0.9615,0.1923,0.001296,0,1,1,1001,22000
M.mixed[86],0.8926,0.3096,0.002165,0,1,1,1001,22000
M.mixed[87],0.2348,0.4239,0.003168,0,0,1,1001,22000
